StateWellNumber,Aquifer,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Ag_indicator,LU_Code1
1129504,Dockum,34.551945,-101.440278,2.065,Loam,502,5,12,20,549,732,914,30,41.59999847,52,15,21,27,0.100000001,0.550000012,1,4,9,14,0.100000001,0.129999995,0.159999996,34,39,44,24,32,39,8,14,19,0.28,0.28,1,4,5,7.900000095,8.300000191,8.399999619,525.9920044,15.0899992,0,71
1130602,Dockum,34.552223,-101.256112,0.3,Clay loam,532,0,0.5,1,853,1128,1524,25,34.70000076,45,27,28.10000038,40,1.5,2.5,3,1.399999976,5.699999809,14,0.119999997,0.170000002,0.180000007,35,41,47,35,43,56,15,19,28,0.32,0.32,0,1,2,7.400000095,7.900000095,8.399999619,540.7769775,14.62999916,0,71
1139904,Dockum,34.386667,-101.135,2.9,Silt loam,150,10,20,30,305,534,762,0,26.29999924,0,15,21,27,0.5,0.75,1,4,9,14,0.150000006,0.200000003,0.239999995,0,43,0,22,28.5,35,6,10,14,0.43,0.43,0,0,0,7.400000095,7.900000095,8.399999619,584.473999,15.82999992,0,52
1140705,Dockum,34.380555,-101.110278,3.15,Silt loam,120,10,20,30,305,534,762,0,26.29999924,0,15,21,27,0.5,0.75,1,4,9,14,0.150000006,0.200000003,0.239999995,0,43,0,22,28.5,35,6,10,14,0.43,0.43,0,0,0,7.400000095,7.900000095,8.399999619,588.1530151,15.82999992,0,52
1155210,Dockum,34.212501,-101.180555,2.92,Clay loam,300,3,4,5,975,1204,1433,25,38,65,22,33,40,0.100000001,0.5,0.699999988,1.399999976,5.699999809,14,0.100000001,0.150000006,0.180000007,34,40,44,32,42,51,15,21,29,0.28,0.28,0,1,2,7.900000095,8.399999619,9,566.9630127,15.35999966,0,21
1156507,Dockum,34.178889,-101.082222,1.336666667,Clay loam,337,3,4,5,975,1204,1433,25,38,65,22,33,40,0.100000001,0.5,0.699999988,1.399999976,5.699999809,14,0.100000001,0.150000006,0.180000007,34,40,44,32,42,51,15,21,29,0.28,0.28,0,1,2,7.900000095,8.399999619,9,578.6289673,15.50999928,0,71
1156703,Dockum,34.150278,-101.117222,3,Silty clay loam,310,3,4,5,853,998,1433,20,39.59999847,52,15,34.59999847,40,0.050000001,0.100000001,0.300000012,4,9,14,0.07,0.100000001,0.119999997,31,36,44,21,39,47,2,19,26,0.28,0.28,0,1,2,7.900000095,8.399999619,9,574.9249878,15.21999931,1,82
1164503,Dockum,34.059167,-101.060556,0.75,Fine sandy loam,136,0,0.5,2,792,975,1494,50,66.09999847,70,5,14,18,0.5,0.75,1,14,28,42,0.100000001,0.119999997,0.150000006,0,41,0,17,26,31,2,9,12,0.2,0.2,0,0,0,7.900000095,8.199999809,8.399999619,567.7579956,15.67000008,0,21
1164802,Dockum,34.028333,-101.062778,2.288333333,Silty clay loam,298,3,4,5,853,998,1433,20,39.59999847,52,15,34.59999847,40,0.050000001,0.100000001,0.300000012,4,9,14,0.07,0.100000001,0.119999997,31,36,44,21,39,47,2,19,26,0.28,0.28,0,1,2,7.900000095,8.399999619,9,564.7869873,15.36999989,0,71
1164901,Dockum,34.040278,-101.031111,1.93,Loam,200,0,0.5,1,274,518,762,0,42.09999847,0,15,20,25,1,2,3,4,9,14,0.119999997,0.150000006,0.180000007,0,39,0,20,27.5,35,4,9.5,15,0.28,0.28,0,1,2,6.599999905,7.199999809,7.800000191,568.5119019,15.67000008,0,71
